Company,Weight
"Match Group, Inc. (a)",0.02005
"Dayforce, Inc. (a)",0.01989
"MarketAxess Holdings, Inc.",0.01986
Campbell Soup Co.,0.0198
Solventum Corp. (a),0.01979
"Generac Holdings, Inc. (a)",0.01963
"Globe Life, Inc.",0.01954
Fox Corp. Class A,0.01953
"Hasbro, Inc.",0.01947
"Lamb Weston Holdings, Inc.",0.01911
"Henry Schein, Inc. (a)",0.01898
Hormel Foods Corp.,0.01892
APA Corp.,0.01859
"Caesars Entertainment, Inc. (a)",0.01855
MGM Resorts International (a),0.01854
Norwegian Cruise Line Holdings Ltd. (a),0.01853
Brown-Forman Corp. Class B,0.01853
Wynn Resorts Ltd.,0.01842
Federal Realty Investment Trust REIT,0.01777
Mosaic Co.,0.01753
"Mohawk Industries, Inc. (a)",0.0173
"BorgWarner, Inc.",0.01698
FMC Corp.,0.01691
"Paycom Software, Inc.",0.01666
Invesco Ltd.,0.01623
Ralph Lauren Corp.,0.01596
"DaVita, Inc. (a)",0.01554
"Walgreens Boots Alliance, Inc.",0.01319
Paramount Global Class B,0.01297
"Franklin Resources, Inc.",0.01277
Fox Corp. Class B,0.01052
"Amentum Holdings, Inc. (a)",0.0083
News Corp. Class B,0.00645
